#0,102.77367626905446,0.0,hit
#2,202.20900365625087,0.0,hit
#0,113.5468114867955,0.0,hit
#2,202.20900365625008,0.0,hit
#0,113.54681148679464,0.0,hit
#1,171.41795007669907,8.0,no_hit
#0,113.5468114867935,0.0,hit
#1,171.417950076698,8.0,no_hit
#1,171.4179500766967,8.0,no_hit
#1,171.41795007669538,8.0,no_hit
#1,171.41795007669413,8.0,no_hit
#1,171.4179500766928,8.0,no_hit
#1,171.41795007669137,8.0,no_hit
#1,171.41795007668955,8.0,no_hit
#1,171.41795007668836,8.0,no_hit
#1,171.41795007668733,8.0,no_hit
#1,171.41795007668586,8.0,no_hit
#1,171.41795007668463,8.0,no_hit
#1,171.4179500766832,8.0,no_hit
#1,171.417950076682,8.0,no_hit
#1,395.474763038124,8.0,no_hit
#0,128.55044196010866,0.0,hit
#0,144.43426379488494,0.0,hit
#2,212.90439139487492,0.0,hit
#1,129.70377981359937,8.0,no_hit
#0,269.9634084608218,0.0,hit
#1,62.39751926036444,8.0,hit
#2,96.15667679350223,0.0,hit
#0,327.8282145040184,0.0,hit
#0,241.97477851623955,0.0,hit
#0,241.97477851623816,0.0,hit
#0,241.9747785162372,0.0,hit
#1,110.38550728453234,8.0,no_hit
#1,110.38550728453203,8.0,no_hit
#1,110.38550728453171,8.0,no_hit
#1,110.38550728453154,8.0,no_hit
#1,110.38550728453141,8.0,no_hit
#1,110.38550728453104,8.0,no_hit
#1,110.38550728453114,8.0,no_hit
#1,110.38550728453123,8.0,no_hit
#1,110.38550728453095,8.0,no_hit
#1,110.38550728453085,8.0,no_hit
#1,110.3855072845304,8.0,no_hit
#1,110.3855072845301,8.0,no_hit
#1,110.38550728453038,8.0,no_hit
#0,191.62919718944406,0.0,hit
#0,191.62919718944295,0.0,hit
#0,191.62919718944204,0.0,hit
#2,549.1476780444049,0.0,hit
#2,549.1476780444038,0.0,hit
#2,549.1476780444029,0.0,hit
#2,549.1476780444019,0.0,hit
#1,195.93889962135836,8.0,no_hit
#1,195.938899621358,8.0,no_hit
#1,195.93889962135802,8.0,no_hit
#1,195.93889962135802,8.0,no_hit
#1,195.93889962135776,8.0,no_hit
#1,195.93889962135742,8.0,no_hit
#1,195.93889962135748,8.0,no_hit
#1,195.93889962135734,8.0,no_hit
#1,195.93889962135736,8.0,no_hit
#1,195.93889962135714,8.0,no_hit
#1,195.93889962135682,8.0,no_hit
#1,195.93889962135663,8.0,no_hit
#1,195.93889962135657,8.0,no_hit
#1,195.93889962135674,8.0,no_hit
#1,195.93889962135674,8.0,no_hit
#1,195.93889962135674,8.0,no_hit
#1,195.93889962135688,8.0,no_hit
#1,195.9388996213572,8.0,no_hit
#1,195.9388996213571,8.0,no_hit
#1,195.93889962135697,8.0,no_hit
#1,195.93889962135685,8.0,no_hit
#1,195.93889962135657,8.0,no_hit
#1,195.93889962135643,8.0,no_hit
#1,195.93889962135643,8.0,no_hit
#1,195.93889962135634,8.0,no_hit
#1,195.93889962135617,8.0,no_hit
#1,195.93889962135586,8.0,no_hit
#1,195.93889962135566,8.0,no_hit
#1,195.9388996213559,8.0,no_hit
#1,195.93889962135574,8.0,no_hit
#1,195.9388996213559,8.0,no_hit
#1,195.93889962135586,8.0,no_hit
#1,195.93889962135606,8.0,no_hit
#1,195.93889962135586,8.0,no_hit
#1,195.93889962135577,8.0,no_hit
#1,195.93889962135577,8.0,no_hit
#1,195.93889962135583,8.0,no_hit
#1,195.93889962135586,8.0,no_hit
#1,195.93889962135583,8.0,no_hit
#1,195.93889962135592,8.0,no_hit
#1,195.93889962135583,8.0,no_hit
#1,242.52104367670316,8.0,no_hit
#1,185.2471398832902,0.0,hit
#2,55.13273303981312,0.0,hit
#1,155.0968311670784,8.0,no_hit
#1,157.8740736736716,8.0,no_hit
#0,420.2229167610571,0.0,hit
#0,426.9670551864974,0.0,hit
#0,507.8728633346369,0.0,hit
#0,605.9839280742041,0.0,hit
#2,413.77008585629164,0.0,hit
